Title,ISBN
"Best left as Indians : native-white relations in the Yukon Territory, 1840-1973 /",9780773511002;0773511008
The school at Mopass : a problem of identity /,
Life lived like a story : life stories of three Yukon elders /,9780803263529;080326352X
Woodrow Wilson and the great betrayal /,
Uncle Sam wants you : World War I and the making of the modern American citizen /,0199734798;9780199734795
Too proud to fight : Woodrow Wilson's neutrality /,
The Great War and America : civil-military relations during World War I /,0275981991;9780275981990
"America's reign of terror : World War 1, the red scare and the Palmer raids /",9780394821016;0394821017
"Politics is adjourned : Woodrow Wilson and the War Congress, 1916-1918 /",
The immigrants' influence on Wilson's peace policies /,
American democracy and the world war /,
American democracy and the world war /,
American democracy and the world war /,
Opponents of war 1917-1918 /,
America in the Great War : the rise of the war welfare state /,9780195049039;0195049039
"World War 1 at home : readings on American life, 1914-1920 /",
From progressivism to prosperity : World War 1 and American society /,9780841911079;084191107X
The road to normalcy : the presidential campaign and election of 1920 /,
Only yesterday : an informal history of the nineteen-twenties in America.,
Only yesterday : an informal histry of the nineteen-twenties /,
Only yesterday : an informal histry of the nineteen-twenties /,
The culture of the twenties /,
"Boom and bust, 1920-1939 /",9780070432710;0070432716
The twenties in America /,
The twenties in America /,9780882957173;0882957171
"Empire without tears : America's foreign relations, 1921-1933 /",9780394341453;0394341457
Tragic America /,
"Republican foreign policy, 1921-1933 /",
From Versailles to the New Deal : a chronicle of the Harding-Coolidge-Hoover era /,
Discontented America : the United States in the 1920s /,9780801860041;0801860040;9780801860058;0801860059
"The great war and the search for a modern order : a history of the American people and their institutions, 1917-1933 /",9780312346812;0312346816
"Republican ascendancy, 1921-1933 /",
"The perils of prosperity, 1914-1932 /",9780226473703;0226473708;9780226473710;0226473716
"Triumph and downfall : America's pursuit of peace and prosperity, 1921-1933 /",9780313312724;0313312729
"The perils of prosperity, 1914-32 /",9780226473697;0226473694
"Major problems in American history, 1920-1945 : documents and essays /",0395870747;9780395870747
New world coming : the 1920s and the making of modern America /,9780306813795;0306813793
"The twenties : Fords, flappers and fanatics /",
America in the 1920s /,9780816056378;0816056374
The twenties in America : politics and history /,0748620370;9780748620371
The 1920s : problems and paradoxes : selected readings /,
"Anxious decades : America in prosperity and depression, 1920-1941 /",9780393033946;0393033945;9780393311341;0393311341
America in the twenties : a history /,9780671251079;0671251074
Babbitts and bohemians : from the Great War to the Great Depression /,9781560009603;1560009608
Babbitts and bohemians : the American 1920s /,
"Republicans and labor, 1919-1929 /",
Freedom in jeopardy : the story of the McCarthy years /,9780671321895;0671321897
Senator Joseph McCarthy and the American labor movement /,9780826201881;0826201881
America in the  1920s : literary sources & documents /,
"The origins of Teapot Dome : Progressives, parties, and petroleum, 1909-1921 /",
"The United States and the Washington Conference, 1921-1922 /",9780870491085;0870491083
The Harding era : Warren G. Harding and his administration /,
Tragedy in Dedham : the story of the Sacco-Vanzetti case /,
The parchment peace : the United States Senate and the Washington conference 1921-1922 /,9780313245329;0313245320
Incredible era : the life and times of Warren Gamaliel Harding /,
"Life and times of Warren G. Harding, our after-war president /",
The inside story of the Harding tragedy /,
The available man : the life behind the masks of Warren Gamaliel Harding /,
The strange death of President Harding /,
"President Harding : his life and times, 1865-1923 /",
Calvin Coolidge and the Coolidge era : essays on the history of the 1920s /,9780844409221;0844409227
"Frank B. Kellogg and American foreign relations, 1925-1929 /",
Have faith in Massachusetts : a collection of speeches and messages /,
The autobiography /,
"Calvin Coolidge, the man from Vermont /",
Calvin Coolidge : the quiet president /,
The Talkative President : the Off-The-Record Press Conferences of Calvin Coolidge /,
A puritan in Babylon : the story of Calvin Coolidge /,
President Coolidge : a contemporary estimate /,
The progressive movement of 1924 /,
The Progressive Movement of 1924 and the development of interest group liberalism /,9780824018924;0824018923
Prejudice and the Old Politics : the Presidential Election of 1928 /,9780807813584;0807813583
A Catholic runs for president : the campaign of 1928 /,
"Campaign addresses of Governor Alfred E. Smith, Democratic candidate for President, 1928 /",
"Father Coughlin's radio discourses, 1931-1932 /",
"Father Coughlin's radio sermons, October, 1930-April, 1931 /",
The presidency of Herbert C. Hoover /,9780700602599;0700602593
Herbert Hoover and the historians /,9780938469032;0938469037
"Interpretations, 1931-1932 /",
The Hoover administration : a documented narrative /,
"The crucial era : the Great Depression and World War 2, 1929-1945 /",9780312036317;0312036310
"The poverty of abundance : Hoover, the nation, the Depression /",9780196806235;0196806232
"Hoover, Roosevelt, and the Brains Trust : from Depression to New Deal /",9780231041720;0231041721
"The interregnum of despair : Hoover, Congress, and the Depression /",9780252001123;0252001125
Hard times : an oral history of the Great Depression /,9780713901825;0713901829
Herbert Hoover and the great depression /,
The Hoover policies /,
Devil take the hindmost : a year of the slump /,
"The politics of American individualism : Herbert Hoover in transition, 1918-1921 /",9780837181608;0837181607
Herbert Hoover : a public life /,9780689706691;0689706693
Journal as Ambassador to Great Britain /,
"Notes as Vice President, 1928-1929 /",
"American diplomacy in the Great Depression : Hoover-Stimson foreign policy, 1929-1933 /",9780208007490;0208007490
"Herbert Hoover : the Great War and its aftermath, 1914-23 /",9780877450955;0877450951
Herbert Hoover as Secretary of Commerce 1921-1928 : studies in New Era thought and practice /,9780877451099;0877451095
Memoirs /,
Memoirs /,
"Two peacemakers in Paris : the Hoover-Wilson post-armistice letters, 1918-1920 /",9780890960516;0890960518
Aggressive introvert : a study of Herbert Hoover and public relations management 1912-1932 /,
"Henry L. Stimson and Japan, 1931-33 /",
An uncommon man : the triumph of Herbert Hoover /,9780671460341;067146034X
"Herbert Hoover : containing the public messages, speeches and statements of the president /",
"Herbert Hoover : containing the public messages, speeches and statements of the president /",
Herbert Hoover /,9780805772852;0805772855
Herbert Hoover : a biography /,
The life of Herbert Hoover /,9780393016345;039301634X
The life of Herbert Hoover /,9780393025507;0393025500
The life of Herbert Hoover /,9780393038415;0393038416
Herbert Clark Hoover : an American tragedy /,
"The Diplomacy of Ideas : U.S. Foreign Policy and Cultural Relations, 1938-1950 /",9780521232418;0521232414
"President Roosevelt and the coming of war, 1941 : a study in appearances and realities /",
The future comes : a study of the New Deal /,
Just around the corner : a highly selective history of the thirties /,
The new dealers /,
"The New Deal at home and abroad, 1929-1945 /",
Minister of relief : Harry Hopkins and the depression /,
The New Deal /,
The New Deal /,9780882957227;0882957228
The New Deal /,9780882958897;0882958895
Essays on the New Deal /,
The Roosevelt revolution /,
Jim Farley's story : the Roosevelt years /,
Roosevelt and his America /,
"F.D.R.'s undeclared war, 1939 to 1941 /",
1933 : characters in crisis /,
The anxious years : America in the nineteen thirties : a collection of contemporary writings /,
"American Catholics and the Roosevelt presidency, 1932-1936 /",
Country squire in the White House /,
The Roosevelt myth /,
F.D.R. and the South /,
The New Deal in historical perspective /,
The thirties : a reconsideration in the light of the American political tradition /,
An Encore for Reform : the Old Progressives and the New Deal /,
The desperate years : a pictorial history of the thirties /,
An American experiment /,
When the New Deal was young and gay /,
The secret diary /,
The secret diary /,
Leadership in the New Deal : the administrative challenge /,
"Isolationism in America, 1935-1941 /",
The New Deal : what was it? /,
Social scientists and farm politics in the age of Roosevelt /,
"Franklin D. Roosevelt and the New Deal, 1932-1940 /",0061330256;9780061330254
The first chapter of the New Deal /,
The New Deal : a Documentary History /,
Half way with Roosevelt /,
The Roosevelt revolution : first phase /,
"Interpretations, 1933-1935 /",
What America thinks /,
The New Deal /,
"The Glory and the Dream : a Narrative History of America, 1932-1972 /",9780718113865;0718113861
After seven years /,
The first New Deal /,
"Roosevelt and Rayburn, a political partnership /",
The New Deal /,9780814202005;0814202004
The New Deal /,9780814202012;0814202012
"Congressional conservatism and the New Deal : the growth of the conservative coalition in Congress, 1933-1939 /",
The new age of Franklin Roosevelt 1932-45 /,
"Working with Roosevelt,",9780306703287;0306703289
"The Roosevelt leadership, 1933-1945 /",
Looking forward /,
The New Deal : revolution or evolution? /,
The age of Roosevelt /,
The age of Roosevelt /,
The age of Roosevelt /,
Cornbelt rebellion : the Farmers' Holiday Association /,
Shrine of the silver dollar /,
Rexford Tugwell and the new deal /,
Forerunners of American Fascism /,
Father Coughlin and the New Deal /,
Democracy reborn /,
The century of the common man /,
Roosevelt and modern America /,
New deal thought /,
The achievement of American liberalism : the New Deal and its legacies /,9780231112123;0231112122;9780231112130;0231112130
Franklin D. Roosevelt and the new deal /,9780852782125;0852782128
American foreign policy in the 1930's /,9780824008970;0824008979
Americans remember the home front : an oral narrative /,9780801502118;080150211X
Appeasement in Europe : a reassessment of U.S. policies /,9780313259258;0313259259
"The New Deal : the depression years, 1933-40 /",9780333289020;0333289021;9780333289044;0333289048
"The new deal : the depression years, 1933-40 /",1566634539;9781566634533
V was for victory : politics and American culture during World War II /,9780156936286;0156936283
The era of Franklin D. Roosevelt : a chronicle of the New Deal and global war /,9780911548518;0911548513
"American foreign policy in the making, 1932-1940 : a study in responsibilities /",
"The United States and the Far Eastern crisis of 1933-1938, from the Manchurian incident through the initial stage of the undeclared Sino-Japanese war /",
The end of reform : New Deal liberalism in recession and war /,9780394535739;0394535731
"Voices of protest : Huey Long, Father Coughlin and the Great Depression /",9780394522418;0394522419
Will Roosevelt succeed? /,
Isolated America /,
Speaking frankly /,
Capitalism contested : the New Deal and its legacies /,0812252624;9780812252620
Nothing to fear : FDR's inner circle and the hundred days that created modern America /,0143116657;9780143116653
American messiahs /,
Senator Gerald P. Nye and American foreign relations /,
Determinism and American foreign relations during the Franklin D. Roosevelt era /,9780819197399;0819197394
"Roosevelt and the isolationists, 1932-45 /",9780803214101;0803214103
Dancing in the dark : a cultural history of the Great Depression /,0393072258;9780393072259;0393338762;9780393338768
"Storm on the horizon : the challenge to American intervention, 1939-1941 /",9780742507852;0742507858
"Class and power in the New Deal : corporate moderates, southern Democrats, and the liberal-labor coalition /",0804774528;9780804774529;0804774536;9780804774536
Roosevelt's purge : how FDR fought to change the Democratic Party /,0674057171;9780674057173
The Roosevelt diplomacy and World War 2 /,
"Franklin D. Roosevelt and American foreign policy, 1932-1945 /",9780195024579;0195024575
"Franklin D. Roosevelt and American foreign policy, 1932-1945 /",9780195097320;0195097327
A decade of American foreign policy : basic documents 1941-1949.,
A decade of American foreign policy : basic documents 1941-1949.,
Roosevelt and World War 2 /,
Second chance : the triumph of internationalism in America during World War 2 /,
The illusion of neutrality /,
"Britain, Roosevelt and the New Deal : British Opinion, 1932-1938 /",9780824036317;082403631X
"Documenting America, 1935-1943 /",9780520062207;0520062205
"The passing of American neutrality, 1937-1941 /",
The war within World War II : Franklin Delano Roosevelt and the struggle for supremacy /,9781903985021;1903985021
Twilight of Progressivism : the Western Republican Senators and the New Deal /,9780801823732;0801823730
Fifty years later : the New Deal evaluated /,9780075544609;0075544601
Franklin D. Roosevelt and Congress : the New Deal and its aftermath /,9780765606228;0765606224
Franklin D. Roosevelt and foreign affairs /,
Franklin D. Roosevelt and foreign affairs /,
Franklin D. Roosevelt and foreign affairs /,9780883542026;0883542021
Franklin D. Roosevelt and foreign affairs /,9780883542033;088354203X
Franklin D. Roosevelt and foreign affairs /,9780883542040;0883542048
Franklin D. Roosevelt and foreign affairs /,9780883542064;0883542064
Franklin D. Roosevelt and foreign affairs /,9780883542071;0883542072
Franklin D. Roosevelt and foreign affairs /,9780883542088;0883542080
Franklin D. Roosevelt and foreign affairs /,9780883542101;0883542102
Franklin D. Roosevelt and foreign affairs /,9780883542118;0883542110
Franklin D. Roosevelt and foreign affairs /,9780883542125;0883542129
Franklin D. Roosevelt and foreign affairs /,9780883542132;0883542137
Franklin D. Roosevelt and foreign affairs /,9780883542149;0883542145
"Franklin D. Roosevelt and foreign affairs, January 1937-August 1939 /",9780883542231;0883542234
Franklin D. Roosevelt and the shaping of American political culture /,9780765606204;0765606208
"The road from isolation : the campaign of the American committee for non-participation in Japanese aggression, 1938-1941 /",
"Confidential dispatches : analyses of America by the British Ambassador, 1939-1945 /",9780890440193;0890440190
Roosevelt's good neigbor policy /,
Franklin D. Roosevelt : the New Deal and war /,9780415145886;0415145880
Fear itself : the New Deal and the origins of our time /,0871404508;9780871404503;0871407388;9780871407382
"Freedom from fear : the American people in depression and war, 1929-1945 /",9780195038347;0195038347
Freedom from fear : the American people in depression and war /,9780195144031;0195144031
"Franklin D. Roosevelt and the world crisis, 1937-1945 /",
"The United States, 1929-1945 : years of crisis and change /",
"How the Far East was lost : American policy and the creation of Communist China, 1941-1949 /",
The challenge to isolation : the world crisis of 1937-1940 and American foreign policy /,
Dealers and dreamers : a new look at the New Deal /,9780385187169;0385187165
The F.D.R. years : on Roosevelt and his legacy /,9780231082983;0231082983
"Don't you know there's a war on : the American Home Front, 1941-1945 /",
The war diary of Breckinridge Long : selections from the years 1939-1944 /,
"The United States, Britain and Appeasement, 1936-1939 /",9780312833138;031283313X
"The Great Depression : America, 1929-1941 /",9780812923278;0812923278
The making of the New Deal : the insiders speak /,9780674543454;0674543459
Wind over sand : the diplomacy of Franklin Roosevelt /,9780820309293;082030929X
"American liberalism and world politics, 1931-1941 : liberalism's press and spokesmen on the road back to war between Mukden and Pearl Harbor /",
"The insurgent progressives in the United States Senate and the New Deal, 1933-1939 /",9780824036379;0824036379
The new deal /,0395870755;9780395870754
"The great depression and World War 2 : organizing America, 1933-1945 /",9780312345624;0312345623
"The new deal and world affairs : a chronicle of international affairs, 1933-1945 /",
The New Deal /,9780824008932;0824008936
The New Deal : conflicting interpretations and shifting perspectives /,9780815307655;0815307659
The New Deal and its legacy : critique and reappraisal /,9780313261817;0313261814
The New Deal and public policy /,9780333731062;0333731069
"Workers' paradox : the Republican origins of new deal labor policy, 1886-1935 /",9780807824306;0807824305;9780807847374;0807847372
The New Deal : a global history /,9780691149127;0691149127
"The era of Franklin D. Roosevelt, 1933-1945 : a brief history with documents /",9780312133108;0312133103
As the storm clouds gathered : European perceptions of American foreign policy in the 1930s /,9780877161011;0877161011
Hope among us yet : social criticism and social solace in depression America /,9780820309026;0820309028
"Days of sadness, years of triumph : the American people 1939-1945 /",9780698104884;0698104889
The Great Depression & the New Deal : a very short introduction /,0195326342;9780195326345
Roosevelt from Munich to Pearl Harbor : a study in the creation of a foreign policy /,
The old Christian Right : the Protestant Far right from the Great Depression to the Cold War /,9780877222972;0877222975
"The rise and fall of the New Deal order, 1930-1980 /",9780691047614;0691047618
"The Roosevelt years : new perspectives on American history, 1933-1945 /",9780748611836;0748611835
"Should America go to war? : the debate over foreign policy in Chicago, 1939-1941 /",9780807818015;0807818011
Roosevelt and Hopkins : an intimate history /,
"To save a nation : American countersubversives, the New Deal, and the coming of World War 2 /",9780465086252;046508625X
"Building New Deal liberalism : the political economy of public works, 1933-1956 /",0521139937;9780521139939
From the outside in : World War 2 and the American state /,9780691044040;069104404X
"Back door to war : the Roosevelt foreign policy, 1933-1941 /",
Roosevelt's Revolution : the First year - a Personal Perspective /,9780026203708;0026203707
The private papers of Senator Vandenberg /,
The New Deal /,9781853312229;1853312223
Hostile allies : F.D.R. and Charles de Gaulle /,
Watershed of empire : essays on New Deal foreign policy /,9780879260200;0879260203
"E.R. Stettinius, Jr /",
Washington Despatches 1941-1945 : Weekly Political Reports from the British Embassy /,9780297779209;0297779206
The Great Depression : America in the 1930s /,9780316924542;0316924547
Seven major decisions /,
While you were gone : a Report on Wartime Life in the United States /,
F.D.R. and the press /,9780226895123;0226895122
"From isolation to war, 1931-1941 /",9780882958767;0882958763
The Yalta betrayal : data on the decline and fall of Franklin Delano Roosevelt /,
"F.D.R., 1882-1945 : the Life and Times of Franklin D. Roosevelt /",9780500012673;0500012679
Traitor to his class : the privileged life and radical presidency of Franklin Delano Roosevelt /,0307277941;9780307277947
Roosevelt : the lion and the fox /,
Franklin D. Roosevelt as governor of New York /,
Kennedy and Roosevelt : the uneasy alliance /,9780393013351;0393013359
"F.D.R.'s last year, April 1944-April 1945 /",
"Roosevelt : the soldier of freedom, 1940-1945 /",
"F.D.R. : into the storm, 1937-1940 : a history /",9780679415411;0679415416
"F.D.R. : the New Deal years, 1933-1937 : a history /",9780394527536;0394527534
"F.D.R. : the New York years, 1928-1933 : a history /",9780394516714;0394516710
"F.D.R. : the beckoning of destiny, 1882-1928 : a history /",9780399109980;0399109986
F.D.R. /,
F.D.R. and his contemporaries : foreign perceptions of an American president /,9780333573747;0333573749
Franklin D. Roosevelt /,
Franklin D. Roosevelt /,
Franklin D. Roosevelt /,
Franklin D. Roosevelt /,
The economic thought of Franklin D. Roosevelt and the origins of the New Deal /,
"Secret affairs : Franklin Roosevelt, Cordell Hull, and Sumner Welles /",9781929631117;1929631111
What Roosevelt thought : the social and political ideas of Franklin D. Roosevelt /,
Roosevelt in retrospect : a profile in history /,
"Off the record with F.D.R., 1942-1945 /",
"The strange death of Franklin D. Roosevelt : history of the Roosevelt-Delano dynasty, America's royal family /",
President Roosevelt /,
The juggler : Franklin Roosevelt as wartime statesman /,9780691047874;0691047871
"Eleanor and Franklin : the story of their relationship, based on Eleanor's private papers /",9780233963419;0233963413
Franklin D. Roosevelt : a profile /,
Mr Roosevelt /,
Franklin Roosevelt : his life and achievement /,
F.D.R. : an intimate history /,9780385151085;038515108X
F.D.R. : a biography /,9780671454951;0671454951
The Roosevelt I knew /,
My parents : a differing view /,9780872234765;0872234762
The Roosevelt presidency : four intimate perspectives of FDR /,9780819128270;0819128279
On my own /,
The autobiography /,
This I remember /,
This is my story /,
A rendezvous with destiny : the Roosevelts of the White House /,9780399115455;0399115455
An untold story : the Roosevelts of Hyde Park /,
As he saw it /,
F.D.R. : his personal letters /,
F.D.R. : his personal letters /,
F.D.R. columnist : the uncollected columns of Franklin D. Roosevelt /,
"Nothing to Fear : the selected Addresses of Franklin Delano Roosevelt, 1932-1945 /",
On our way /,
"Roosevelt and Frankfurter : their correspondence, 1928-1945 /",
The F.D.R. memoirs /,
"The Roosevelt letters, being the personal correspondence of Franklin Delano Roosevelt /",
The public papers and addresses of Franklin D. Roosevelt /,
The public papers and addresses of Franklin D. Roosevelt /,
The public papers and addresses of Franklin D. Roosevelt /,
F.D.R. : architect of an era /,
In search of Roosevelt /,9780674446250;0674446259
The democratic Roosevelt : a biography of Franklin D. Roosevelt /,
A first class temperament : the emergence of Franklin Roosevelt /,9780060160661;0060160667
Majesty and mischief : a mixed tribute to F.D.R. /,
No ordinary time : Franklin and Eleanor Roosevelt : the home front in World War 2 /,9780671642402;0671642405
Eleanor : the years alone /,9780233964287;0233964282
The Roosevelt chronicles /,9780385127547;0385127545
The Eleanor Roosevelt papers.,0684315769;9780684315768
The White House press conferences of Eleanor Roosevelt /,9780824056513;0824056515
"My day : the best of Eleanor Roosevelt's acclaimed newspaper columns, 1936-1962 /",9780306810107;0306810107
Courage in a dangerous world : the political writings of Eleanor Roosevelt /,9780231111805;0231111800
Casting her own shadow : Eleanor Roosevelt and the shaping of postwar liberalism /,9780231104043;0231104049
Eleanor Roosevelt /,9780670804863;067080486X
Eleanor Roosevelt /,9780670844982;0670844985
Dear Mrs. Roosevelt : letters from children of the Great Depression /,9780807827475;0807827479;9780807854136;0807854131
Mother R. : Eleanor Roosevelt's untold story /,9780491020039;0491020031
Eleanor Roosevelt : first lady of American liberalism /,9780805777789;0805777784
Without precedent : the life and career of Eleanor Roosevelt /,9780253191007;0253191009
Eleanor Roosevelt : a personal and public life /,9780673393586;0673393585
Bury my heart at Wounded Knee : an Indian history of the American West /,9780099526407;0099526409
"Massacres of the mountains : a history of the Indian wars of the Far West, 1815-1875 /",
"Encyclopedia of American Indian wars, 1492-1890 /",9780874367966;0874367964
Our hearts fell to the ground : Plains Indian views of how the West was lost /,9780312133542;0312133545
"The Indian frontier of the American West, 1846-1890 /",9780826307156;0826307159
The price of power : America since 1945 /,
The United States and the great powers : world politics in the twenty-first century /,9780745633756;0745633757;9780745633749;0745633749
Intervention and revolution : the United States in the Third World /,9780452005501;0452005507
"1940 : FDR, Willkie, Lindbergh, Hitler--the election amid the storm /",0300190867;9780300190861
"Foreign policy and U.S. presidential elections, 1940-48 /",9780531064955;0531064956
The United States since 1945 /,
From Yalta to Vietnam : American foreign policy in the cold war /,9780140211474;0140211470
"America comes of middle age : columns, 1950-1962 /",
Search for a new land : history as a subjective experience /,
Bases and empire : a chart of American expansion /,
"Truth and power : essays of a decade, 1960-70 /",
Britain and the United States /,
America the dutiful : an assessment of U.S. foreign policy /,
An American policy in Asia /,
The United States in the world arena : an essay in recent history /,
"The American establishment, and other reports, opinions and speculations /",
American foreign policy in the post-war years /,9780405106279;0405106270
"The crisis of confidence : ideas, power and violence in America /",
Imperialists and other heroes : a chronicle of the American empire /,
Call to greatness /,
The United States in the postwar world : a critical appraisal /,
"The United States in the contemporary world, 1945-1962 /",
The accidental superpower : the next generation of American preeminence and the coming global disorder /,9781455583669;1455583669;1478983116;9781478983118;9781455583683;1455583685
Public papers of the Presidents of the United States : Harry S. Truman /,
Public papers of the Presidents of the United States : Harry S. Truman /,
The unquiet years : U.S.A. 1945-1955 /,
Atomic diplomacy : Hiroshima and Potsdam : the use of the atomic bomb and the American confrontation with Soviet power /,
Atomic diplomacy : Hiroshima and Potsdam : the use of the atomic bomb and the American confrontation with Soviet power /,9780140083378;0140083375
Atomic diplomacy : Hiroshima and Potsdam : the use of the atomic bomb and the American confrontation with Soviet power /,9780745309477;074530947X
The Truman scandals /,
The Truman merry-go-round /,
Atomic diplomacy : Hiroshima and Potsdam : the use of the atomic bomb and the American confrontation with Soviet power /,9780745309484;0745309488
The Truman Administration : a Documentary History /,
McCarthy and his enemies : the record and its meaning /,
"Tumultuous years : the presidency of Harry S. Truman, 1949-1953 /",9780393016192;0393016196
Choosing Truman : the Democratic Convention of 1944 /,9780826209481;0826209483
The crucial decade - and after : America 1945-1960 /,
The Truman period as a research field /,
Truman and Taft-Hartley : a question of mandate /,
The Truman Presidency : the history of a triumphant succession /,
The Truman Era /,
Seeds of repression : Harry S. Truman and the origins of McCarthyism /,
The Truman administration : its principles and practice /,
"America's failure in China, 1941-50 /",
"America's failure in China, 1941-50 /",
"""Co-operation with like-minded peoples"" : British influences on American security policy, 1945-1949 /",9780313248504;0313248508
The civil rights legacy of Harry S. Truman /,1931112673;9781931112673
Cold war critics; alternatives to American foreign policy in the Truman years /,9780812901634;0812901630;9780812961409;0812961404
A companion to Harry S. Truman /,1444331418;9781444331417
Containment : documents on American policy and strategy 1945-1950 /,9780231043991;0231043996
An opportunity lost : the Truman administration and the farm policy debate /,9780826216502;0826216501
Not to the swift : the old isolationists in the Cold War era /,9780838719404;0838719406
"Abundance and anxiety : America, 1945-1960 /",9780275957735;027595773X
"Conflict and crisis : the presidency of Harry S. Truman, 1945-1948 /",9780393056365;0393056368
American foreign policy in the making /,
Harry S. Truman and the Cold War revisionists /,0826216536;9780826216533
"The Truman doctrine and the origins of McCarthyism : foreign policy, domestic politics, and internal security 1946-1948 /",9780394465975;0394465970
"Building the Cold War consensus : the political economy of U. S. national security policy, 1949-51 /",9780472108879;0472108875
The Forrestal diaries : the inner history of the cold war /,
Architects of Illusion : Men and Ideas in American Foreign Policy 1941-1949 /,
"Cold War diplomacy : American foreign policy, 1945-1975 /",9780442227883;0442227884
Recent America : the United States since 1945 /,9780882958415;0882958410
Beyond the new deal : Harry S. Truman and American liberalism /,
"The politics of loyalty : the White House and the Communist issue, 1946-1952 /",9780837123431;0837123437
Truman and the 80th Congress /,9780826201058;0826201059
The awesome power : Harry S. Truman as Commander in Chief /,
"A cross of iron : Harry S. Truman and the origins of the national security state, 1945-1954 /",9780521640442;052164044X
The Truman years : the Reconstruction of Postwar America /,
"Religion and American foreign policy, 1945-1960 : the soul of containment /",0521513472;9780521513470
"The collapse of the middle way : Senate Republicanism and the bipartisan foreign policy, 1948-1952 /",9780313257841;0313257841
"A preponderance of power : national security, the Truman administration, and the Cold War /",9780804722186;0804722188;9780804719247;0804719241
"America in the Cold War : twenty years of Revolutions and Response, 1947-1967 /",
"From Roosevelt to Truman : Potsdam, Hiroshima, and the cold war /",0521862442;9780521862448
The presidency of Harry S. Truman /,9780700602551;0700602550
Quest and response : minority rights and the Truman administration /,
"The End of an Alliance : James F. Byrnes, Roosevelt, Truman, and the Origins of the Cold War /",9780807814949;0807814946
Plot against peace /,
Truman to Carter : a post-war history of the United States of America /,9780713103267;0713103264
"American high : the years of confidence, 1945-1960 /",9780029236802;0029236800;9780029236796;0029236797
"Arming the free world : the origins of the United States military assistance program, 1945-1950 /",9780807819432;0807819433;9780807865798;0807865796
Politics as usual : the age of Truman and Eisenhower /,9780882958569;0882958569
Harry truman and the struggle for racial justice /,0700619119;9780700619115
"The Yalta myths : an issue in U.S. politics, 1945-1955 /",9780826200884;0826200885
The Truman presidency /,9780521375597;0521375592
The Council on Foreign Relations and American foreign policy in the early cold war /,9781571810038;157181003X
Dawning of the Cold War : the United States' quest for order /,9780820312668;0820312665
A foreign policy for the United States /,
Shattered peace : the origins of the Cold War and the national security state /,9780233969701;0233969705
Selling the American way : U.S. propaganda and the Cold War /,0812240820;9780812240825;0812221192;9780812221190
Harry Truman and the crisis presidency /,
Truman and Israel /,9780520068049;0520068041
The man of Independence /,
Harry S. Truman and the modern American presidency /,9780316281232;0316281239
Truman's crises : a political biography of Harry S. Truman /,9780313212734;0313212732
Man of the people : a life of Harry S. Truman /,9780195045468;0195045467
Working with Truman : a personal memoir of the White House years /,9780399127625;0399127623
"Mr President : personal diaries, private letters, papers, and revealing interviews of Harry S. Truman ... /",
Truman /,9780002175845;0002175843
Truman /,9780671456542;0671456547
Harry Truman : President /,
Plain speaking : an oral biography of Harry S. Truman /,
Truman : the rise to power /,9780070421851;0070421854
A safe haven : Harry S. Truman and the founding of Israel /,0060594632;9780060594633
The man from Missouri : the life and times of Harry S. Truman /,
Memoirs /,
Memoirs /,
Truman speaks /,
Harry S. Truman /,
My own story /,
The Autobiography of Harry S. Truman /,9780870810909;0870810901
"Affection and trust : the personal correspondence of Harry S. Truman and Dean Acheson, 1953-1971 /",0307593541;9780307593542
"Dear Bess : the letters from Harry to Bess Truman, 1910-1959 /",9780393018226;0393018229
Letters home /,9780399128660;0399128662
Truman's triumphs : the 1948 election and the making of postwar America /,070061866X;9780700618668;0700618678;9780700618675
Gideon's army /,
The loneliest campaign : the Truman victory of 1948 /,
Henry A. Wallace : quixotic crusade 1948 /,
"The western public, 1952 and beyond /",
"Foreign policy and U.S. presidential elections, 1952-1960 /",9780531064962;0531064964
Class and party in the Eisenhower years : class roles and perspectives in the 1952 and 1956 elections /,
"Major campaign speeches of Adlai E. Stevenson, 1952 /",
The first frontier : the Indian wars and America's origins 1607-1776 /,9780671225346;0671225340
"Narratives of the Indian wars, 1675-1699 /",
Warpaths : invasions of North America /,9780195082227;0195082222
"""I will fight no more forever"" : Chief Joseph and the Nez Perce War /",
General George Crook : his autobiography /,
Custer's luck /,
War-path and bivouac : the Big Horn and Yellowstone expedition /,
Personal recollections and observations of General Nelson A. Miles /,
Serving the republic : memoirs of the civil and military life of Nelson A. Miles /,
The conspiracy of Pontiac /,
Pontiac and the Indian uprising /,
The siege of Detroit in 1763 : the journal of Pontiac's conspiracy and John Rutherfurd's narrative of a captivity /,
Massacre : the tragedy at White River /,
The Black Hawk war : including a rewiew of Black Hawk's life /,
The name of war : King Philip's war and the origins of American identity /,9780375702624;0375702628
The name of war : King Philip's war and the origins of American identity /,9780679446866;0679446869
"So dreadfull a judgment : Puritan responses to King Philip's war, 1676-1677 /",9780819560582;0819560588
"Peace and war on the Anglo-Cherokee frontier, 1756-63 /",9780333778395;0333778391
"War under heaven : Pontiac, the Indian nations and the British Empire /",9780801878923;0801878926
The American Revolution in Indian country : crisis and diversity in native American communities /,9780521475693;0521475694
"President Washington's Indian war : the struggle for the Old Northwest, 1790-1795 /",9780806124889;0806124881
Black Hawk : an autobiography /,
A misplaced massacre : struggling over the memory of Sand Creek /,0674045858;9780674045859
